Country,gdp_2013Q1,gdp_2013Q2,gdp_2013Q3,gdp_2013Q4,gdp_2014Q1,gdp_2014Q2,gdp_2014Q3,gdp_2014Q4,gdp_2015Q1,gdp_2015Q2,gdp_2015Q3,gdp_2015Q4,gdp_2016Q1,gdp_2016Q2,gdp_2016Q3,gdp_2016Q4,gdp_2017Q1,gdp_2017Q2,gdp_2017Q3,gdp_2017Q4,gdp_2018Q1,gdp_2018Q2,gdp_2018Q3,gdp_2018Q4,gdp_2019Q1,gdp_2019Q2,gdp_2019Q3,gdp_2019Q4,gdp_2020Q1,gdp_2020Q2,gdp_2020Q3,gdp_2020Q4,WB_Country
Albania,311329.563024,359033.383233,325857.948809,353865.371989,315142.113799,370527.60806,348628.018266,361022.701911,318755.257132,383685.836766,360201.004113,371682.565837,332999.557942,385342.123134,366020.871187,388133.935186,351321.195223,410177.868591,385212.571762,403952.052261,374721.559569,431965.456474,408944.341596,420097.619296,384737.587671,446502.223723,426525.927616,421518.228531,372874.819769,385775.533564,410175.328694,,
Argentina,722245.2,846952.7,859136.6,919973.9,979412.2,1175657.4,1171375.8,1252641.0,1273173.4,1487869.7,1555432.7,1638035.1,1751661.3,2103639.1,2131907.2,2240952.0,2310219.4,2639552.1,2779105.6,2931351.4,3059794.1,3508513.6,3779530.9,4194883.5,4353028.3,5227421.3,5571813.8,6294986.5,6197808.3,5859132.6,6786841.9,,
Armenia,784166.2,978205.1,1363072.3,1430194.6,814938.4,1030592.9,1443501.1,1539593.9,879565.7,1105248.02,1523902.7,1534916.8,893634.2,1132260.6,1525628.4,1515770.3,971041.0,1212700.8,1587405.4,1793346.1,1115563.9,1362703.9,1687018.4,1851749.0,1245326.6,1489641.7,1835351.0,1998711.5,1268112.5,1270795.3,1744942.4,,Armenia
Australia,369422.0,390707.0,392506.0,415620.0,386766.0,403637.0,402046.0,421531.0,392276.0,408748.0,411311.0,428108.0,398637.0,422658.0,424744.0,457430.0,431004.0,450449.0,452978.0,473857.0,448446.0,474599.0,476713.0,500857.0,471362.0,499667.0,503307.0,520729.0,487118.0,470445.0,,,
Austria,77118.6104,80679.2818,81143.5786,84968.7254,78975.2647,83235.7166,83365.8328,87569.2501,81812.3856,85599.7353,86296.6614,90560.4512,86018.2413,89349.7876,88843.7615,93396.1563,88503.1851,92031.918,91967.7907,96838.367,92971.202,95316.6283,95348.8769,101725.181,96074.3752,98844.7595,98974.1708,103681.976,93823.7885,86150.264,95614.4154,,
Azerbaijan,12917.5,13919.2,15466.0,15879.3,13143.1,15317.4,15886.9,14666.7,11604.3,14170.4,14096.0,14509.3,12510.0,15161.6,15970.5,16751.5,,,,,,,,,,,,,,,,,Azerbaijan
Bahrain,3013.37288263159,2972.20011329063,3102.76496262359,3146.49949315247,3047.035,3172.765,3236.6825,3097.2877085272003,2860.83404503127,3002.9266237589,2962.78604455149,2876.75600782303,2852.35789432476,2998.27425064931,3066.9751896563403,3061.15499116641,,,,,,,,,,,,,,,,,Bahrain
Belarus,13701.36,16372.03,18573.68,18421.78,16670.21,19125.68,22635.56,22147.82,19821.31,21597.59,24524.41,23966.5,21121.7,23052.5,25720.6,25054.2,22652.4,25341.2,28569.2,29185.4,26766.1,29341.8,33127.3,33084.5,29077.2,31688.0,36170.1,35016.4,,,,,Belarus
Belgium,94778.0,99134.0,95256.0,103712.0,97159.0,100995.0,98215.0,106635.0,100109.0,104882.0,101419.0,110292.0,102431.0,108919.0,104750.0,113985.0,107321.0,112505.0,107644.0,117521.0,110212.0,116273.0,111298.0,122636.0,114209.0,120178.0,115420.0,126397.0,113665.0,103698.0,110937.0,,
Bolivia,49829.496405308404,52449.1972328443,53503.6693259295,56073.668699603106,53960.5696465569,56635.1886659917,57868.4259379548,59539.4749162856,55975.7491920893,56814.280224878,56306.192944388604,58935.1475332171,55360.4591887283,56563.7031590752,59641.189185328,62967.8305092877,61026.4182003544,61794.1127861127,66836.4448020758,69527.7415739329,66707.9805945893,66902.3936540447,69456.0383151798,,,,,,,,,,
Bosnia and Herzegovina,6125.67,6629.886,7273.839,6749.361,6308.495,6605.822,7292.125,7152.268,6421.315,7042.105,7723.376,7402.256,6745.097,7274.833,8112.047,7772.483,7055.895,7631.253,8531.661,8157.428,7595.442,8242.842,8932.633,8673.16,8020.781,8741.838,9426.684,9039.56,8327.156,7945.917,,,
Botswana,28429.3,32466.0,31665.6,32597.5,34491.5,37703.6,36156.2,37517.1,36649.7,37398.9,24394.490310668898,25087.8370269775,23571.7672119141,23702.5650062561,21692.696456909198,23936.7987060547,20331.285969257402,22479.735992431597,21902.297355651903,21902.297355651903,,,,,,,,,,,,,
Brazil,1241621.762,1322587.422,1354133.224,1413276.591,1385945.428,1422288.322,1462126.266,1508592.984,1456836.782,1480130.858,1508219.709,1550599.651,1499483.077,1558285.59,1577224.259,1634335.074,1589214.387,1633651.302,1647680.117,1712773.193,1657833.65,1704702.308,1736934.998,1789705.127,1725680.599,1795805.844,1842110.268,,,,,,
Brunei Darussalam,6067.5,5626.4,5347.1,5597.7,5737.2,5479.2,5209.6,5245.6,4655.6,4526.3,4321.9,4274.2,3940.7,4029.4,3763.6,4014.0,,,,,,,,,,,,,,,,,
Bulgaria,17255.871,19923.843,21984.868,22790.268,16878.152,20148.146,23287.835,23570.788,18245.977,22119.472,24072.775,24924.124,19631.922,22937.082,25830.1,26731.486,20930.989,24904.61,27902.895,28606.58,22268.762,26660.962,30441.568,30372.075,25127.815,29687.776,31680.673,33275.986,25993.085,27774.034,31675.65,,
CapeVerde,36712.013923826205,39291.029303733594,38368.6093225861,39351.5200546287,38213.89005427,38932.029310634105,37291.4380926244,39998.3856364938,38969.378459466796,39248.310729929704,37302.8320372896,41004.546419168604,40432.2158805358,40103.8269581235,37960.7878978585,42745.2630005289,,,,,,,,,,,,,,,,,CapeVerde
Canada,443125.0,460401.0,500963.0,497758.0,467345.0,488985.0,524490.0,514078.0,472379.0,487051.0,521592.0,509419.0,475252.0,490410.0,530194.0,529679.0,499356.0,524610.0,559684.0,557457.0,521971.0,545995.0,585742.0,570148.0,536870.0,568190.0,601987.0,596831.0,544563.0,,,,
Chile,33213415.7,33990993.1,33433372.2,37238434.8,36077488.0,36627476.8,35772848.2,40121640.9,39179707.8,39535450.0,38263478.3,42574712.2,41953610.8,41447910.4,40805268.5,45330598.1,43602201.3,44040884.6,43782195.8,48330844.2,47222449.0,47526133.8,45751315.7,50766053.5,49022753.2,49487887.1,48370573.6,51559493.0,51606540.8,46432454.7,47339132.4,,
"Hong Kong SAR, China",509631.0,492375.0,551059.0,585240.0,535907.0,526194.0,580793.0,617111.0,572160.0,565750.0,614251.0,646119.0,590556.0,585135.0,636333.0,678414.0,631418.0,628277.0,679352.0,720337.0,684538.0,673764.0,723240.0,753619.0,707866.0,694280.0,719326.0,744207.0,661590.0,636860.0,698317.0,,"Hong Kong SAR, China"
China,12944960.0,14351870.0,15222270.0,16777230.0,14027020.0,15592230.0,16489780.0,18019030.0,15059380.0,16787450.0,17580380.0,19172080.0,16096730.0,17987870.0,18933760.0,20987720.0,17940340.0,19917780.0,20982410.0,23234900.0,19792000.0,21929540.0,22949550.0,25359860.0,21343280.0,23750030.0,24686510.0,,,,,,China
Colombia,164587913.669646,173151240.799292,181903465.904573,194450379.626489,180412518.415762,183072373.182332,193080812.973678,206337295.428229,188325418.122376,190719325.672264,206431097.113824,219216159.091536,202084918.274841,206715259.557144,218354642.929259,236627179.238756,216202769.142348,219615891.574185,233794403.327826,250857935.955641,230416169.011058,236022230.728294,251232226.900951,268260373.359697,245414429.811293,255020996.641209,270632580.555548,290661524.533611,257941438.397502,215000202.34386,,,
Costa Rica,6191199.7,6059375.2,6066973.9,6543394.7,6718056.4,6623021.3,6656816.4,7228989.3,7328059.1,7137588.0,7156107.6,7659618.6,7769115.4,7589957.7,7565062.4,8212075.0,8321510.7,8099305.3,8085965.6,8682439.0,8803904.5,8577467.4,8490753.6,9065810.3,9224505.7,8826080.1,8848484.8,9396549.1,9289282.0,7873102.1,,,
Croatia,75514.60355,84471.09073,90572.04677,81432.45148,74136.31012,83875.1591,91219.40105,82091.02074,75344.99547,85607.69761,94601.95992,84107.96684,77571.59797,87966.93429,98057.22127,87601.15007,80299.59639,92014.33275,103579.4444,91607.66056,83865.75812,97375.03562,108765.9016,95369.87547,88514.98628,101299.9197,113209.6366,99312.22189,90392.54837,85192.76793,101390.1638,,Croatia
Cyprus,4314.2,4646.7,4580.4,4453.7,4181.2,4412.6,4485.6,4350.8,4209.4,4509.2,4583.9,4581.3,4405.6,4732.5,4875.4,4915.8,4715.1,5049.8,5194.6,5160.3,5037.2,5525.9,5497.3,5372.2,5230.4,5686.4,5768.7,5601.6,5324.2,4856.2,5458.9,,
Czech Republic,955889.0,1034830.0,1052330.0,1099762.0,997951.0,1088654.0,1116501.0,1142660.0,1066579.0,1163326.0,1184154.0,1211319.0,1114961.0,1215075.0,1216961.0,1249876.0,1168642.0,1285296.0,1305042.0,1351763.0,1247835.0,1358981.0,1374728.0,1428121.0,1327625.0,1441153.0,1470589.0,1509438.0,1353195.0,1340172.0,1450484.0,,Czech Republic
Denmark,464259.2,487524.7,482170.4,495722.7,479593.6,495208.5,493651.7,512711.1,495858.1,513524.8,505857.9,521115.4,504761.2,534094.7,521505.8,547446.5,530588.2,558361.0,541099.1,562911.7,536517.7,570371.8,560955.1,585713.5,560149.8,589524.5,582159.8,603167.9,575283.3,554007.6,564806.0,,
Dominican Republic,623151.1606985041,643436.909182791,647218.9434750649,705962.683156391,689474.429190212,712913.081551901,707012.811944332,768127.488473693,744416.5883862299,765465.724909416,759591.1947974471,830177.7010214201,801373.492919308,832951.957640762,818031.006565304,881062.806181166,861277.679518026,897091.202121308,884417.314336255,970360.948186448,,,,,10898000.0,11202800.0,11201700.0,12319000.0,11341900.0,9531000.0,11023600.0,,Dominican Republic
Ecuador,23019.786,23441.324,24238.576,24429.973,24831.492,25543.28,25942.914,25408.645,25052.739,25086.195,24779.738,24371.709,24913.573,24926.186,24910.741,25187.196,26000.261,25993.55,25960.907,26341.144,26510.612,26761.827,27078.404,27211.165,26914.897,27058.331,27054.758,27080.023,26321.793,23567.531,24166.757,,
"Egypt, Arab Rep.",423600.0,446200.0,518000.0,499300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Egypt, Arab Rep."
El Salvador,5205.76,5549.6,5431.32,5804.29,5431.12,5703.06,5592.72,5866.58,5613.83,5867.32,5831.96,6125.13,5690.32,6177.99,5966.1,6357.03,5938.98,6274.42,6152.2,6613.6,6203.12,6571.08,6467.9,6875.3,6454.95,6766.98,6711.04,7089.67,,,,,
Estonia,4451.0777,4831.7609,4868.9393,4881.6145,4660.4676,5107.6818,5098.2367,5313.6035,4767.0211,5280.9073,5295.3889,5438.8977,5117.7857,5492.4332,5513.9743,5807.2947,5445.5825,6055.2719,5978.4172,6378.4762,5902.4488,6507.1302,6540.6025,6987.4326,6510.86,7040.5713,7105.1341,7455.8215,6536.8674,6451.5918,6966.3365,,Estonia
Euro Area,2399146.4502481003,2483037.9098966,2481840.9214794,2569293.4296037,2464086.4936757996,2530145.8044209,2537524.9799282,2635443.9883951,2537821.9670528998,2618155.0469699,2628468.2418957003,2735407.5260235,2612738.1935695,2706795.1227234,2691565.7503885,2804525.5687626,2706841.3003735,2789668.7334363,2796391.7985991,2923803.7195871,2805260.421896,2890861.7026379,2879503.8374367002,3012037.9558683997,2891735.4478414,2971761.0767137003,2978160.8039977998,3093863.3746541003,2859301.6973641003,2589646.6988257,2874772.1254978,,
Finland,48547.0,51645.0,50814.0,53315.0,49332.0,52112.0,51458.0,53995.0,50015.0,53438.0,52437.0,55495.0,51549.0,54896.0,54096.0,56977.0,53794.0,56960.0,56001.0,59546.0,55756.0,58885.0,57797.0,61153.0,57294.0,60896.0,59836.0,62535.0,58132.0,58359.0,58865.0,,
France,521506.0,531010.0,520471.0,544202.0,531249.0,536560.0,528508.0,553448.0,543050.0,549149.0,540348.0,565885.0,554013.0,561664.0,545506.0,572946.0,565860.0,573594.0,563607.0,594183.0,582580.0,587982.0,579295.0,610829.0,597720.0,606543.0,597695.0,623752.0,579098.0,513877.0,578096.0,,
Georgia,5914.463107163279,6900.920241742039,7510.7149789872,8266.95050996682,6561.22477045002,7545.64526128203,8206.34545835821,8810.87965624857,7048.02110334823,8430.94384464083,8998.89893140247,9457.15170352025,7581.86162355615,8787.31604244216,9464.09417581756,10002.7462468722,8662.41547734756,9868.13340349095,10940.5462815053,11290.568294430599,9551.45356638567,10935.751322150802,11850.937157641702,12261.200734345899,10199.896022790399,12024.928514585199,13446.5226119841,14330.815561568501,11063.757817573602,11209.9771573163,,,
Germany,682360.0,692930.0,714670.0,721390.0,716700.0,717360.0,740720.0,752650.0,737210.0,741980.0,765670.0,781320.0,762950.0,779080.0,788980.0,803730.0,796940.0,799040.0,821890.0,841990.0,821150.0,831070.0,839800.0,864390.0,845820.0,846940.0,870150.0,886140.0,851810.0,768770.0,842970.0,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,84850.6,84312.0,85551.8,94766.0,92487.0,88284.8,92223.9,,
Greece,42412.295647,45463.075112,46466.748048,45274.329834,41230.761074,44170.218558,46620.149712,45328.29875,40992.288569,44067.11903,45484.946672,45565.865811,39974.982419,43743.991006,45767.156732,44750.796624,40517.050396,44299.665995,47516.744619,44818.415609,41137.091613,44887.907104,48323.093709,45379.198444,41551.436237,46069.794068,50051.024203,45741.228197,40555.803207,38024.068374,44542.478113,,
Guatemala,103821.532392042,102184.711735512,102184.23336079,108192.742811534,109544.80446114599,109442.417365121,111307.529983459,117031.574410374,117960.017289114,116185.698104737,118693.625925048,123183.47998184599,123931.464651126,122825.815196887,124453.541508266,130790.88288903101,131606.843593869,127546.53238610299,130150.27342832899,136896.756804406,136282.1908225,134312.89393391,136156.43757521402,143038.455164893,144267.70289948,144372.73654132299,147663.085193686,154113.066912077,150638.860967307,132936.135266983,,,
Hungary,6672025.0,7512715.0,7816910.0,8289270.0,7222366.0,8090368.0,8480345.0,8949099.0,7665512.0,8549662.0,8954158.0,9767981.0,7928661.0,9028303.0,9279148.0,9931341.0,8536710.0,9687931.0,10064497.0,10944292.0,9381532.0,10662950.0,11184587.0,12117972.0,10367465.0,11749724.0,12217394.0,13179329.0,10984886.0,10831111.0,12176396.0,,
Iceland,476002.878797,486182.386982,508661.95758,499298.501835,470943.354533,504708.629715,561276.855547,549430.767901,541080.583241,580058.803725,604416.248635,585292.151163,566563.936445,618723.526998,676157.836695,650609.519053,598091.08317,649831.256926,712182.203264,682318.232302,657453.531296,700663.160366,747164.683311,730608.239224,678975.85427,756382.438797,792160.163883,791858.325684,682947.168155,694482.021617,730099.12759,,
India,,25620226.3042621,27695570.299765103,28893893.7407895,30517958.4409196,29104480.0,30565790.0,31753319.062309,32996279.7513082,32416910.0,33540934.115466103,34749284.5615229,36933237.8053075,35984915.6324689,37153459.9568967,38651620.0,41130150.0,40074534.6506954,41721220.0,43261045.612027794,45926240.817992896,45512235.583053604,46478309.640907,48174125.0850052,49547698.6623874,49182284.424741395,49206939.280361794,51732336.1453183,53276928.928532295,38081930.0,47220680.0,,
Indonesia,2235288500.0,2342589500.0,2491158500.0,2477097500.0,2506300200.0,2618947300.0,2746762400.0,2697695400.0,2728180700.0,2867948400.0,2990645000.0,2939558700.0,2929269000.0,3073536700.0,3205019000.0,3193903800.0,3228172200.0,3366787300.0,3504138500.0,3490727700.0,3511408700.0,3685610800.0,3842159900.0,3799132100.0,3783859300.0,3963861700.0,4067378000.0,4018844400.0,3922613800.0,,,,
"Iran, Islamic Rep.",2244347923.11282,2704578508.38597,2507928571.19598,2477112814.60864,2765334641.03852,3238910945.08099,2874873587.58795,2638368450.34753,2772917948.9264,3174276132.71188,2732298290.70969,2734674619.53507,2919933905.63358,3570394902.07376,3234905797.10333,3426024459.90752,,,,,,,,,,,,,,,,,"Iran, Islamic Rep."
Ireland,43301.606027,44368.380756,46864.117754,45082.19605,46486.979062,48298.832075,50599.578113,49762.748972,63269.94964,62956.138341,67917.001765,68710.237136,64559.711463,63418.944814,68742.56014,74088.256803,70026.916159,70462.591996,78253.174424,81644.181223,79650.1732,78003.660399,85041.473593,84290.765102,84928.893403,84930.930788,93224.987369,92966.359023,91882.420823,82651.802868,99298.294964,,
Israel,251830.3403,266100.5867,267614.6698,271092.8765,269499.4961,274002.2828,276285.9491,287789.2116,285714.9902,290207.944,290092.6774,299308.027,298226.9937,301082.9111,311135.831,314505.3081,310000.0922,316063.9161,318382.3513,327108.9064,323017.6801,328739.8815,333829.3969,345030.7196,344734.9261,344368.982,355484.5772,,,,,,
Italy,380087.9,402771.2,402442.0,427449.1,386498.9,405581.9,404925.3,430399.5,389770.9,412552.4,413474.7,439557.0,401963.9,423978.7,421948.1,447896.0,411556.0,432198.2,430695.0,462143.7,422807.8,442617.7,437265.6,468372.0,427845.4,444366.5,443497.6,474037.5,407211.4,370119.4,424154.2,,
Japan,123290400.0,123962300.0,124080000.0,131842800.0,127370100.0,126615900.0,125507400.0,134382600.0,131729200.0,131433800.0,130273600.0,137883200.0,133195400.0,132294800.0,130701600.0,139345400.0,134509000.0,134461100.0,134034100.0,142893200.0,136159600.0,135979200.0,133195000.0,141517900.0,137429500.0,137778300.0,136296300.0,142255900.0,136169200.0,125795900.0,,,
